,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ar Argentina,84,3814,2870,4176.0,178.0,5313,2935.0,2922.0,2060,926.0,0.0,2385,1542,6914,10311,14102,10308,12615,15565,7976,4684,5782,2739,1485,3484,6862,6205.0,10883.0,6012.0,11645.0,9724.0,3806.0,4735.0,4127.0,1985.0,2433.0,1501
br Brazil,0,3331,5909,6884.0,4014.0,8280,8888.0,12844.0,8832,7937.0,12218.0,23679,21442,41374,43376,37894,38643,41473,40513,48722,52523,43245,30806,23915,23706,23143,26984.0,26666.0,19841.0,19843.0,17642.0,9534.0,10000.0,8727.0,8207.0,8587.0,8184
nz New Zealand,0,3045,2970,2419.0,2746.0,2922,887.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0
gh Ghana,0,2014,5358,4633.0,2851.0,2763,2888.0,171.0,3888,6730.0,6749.0,6760,7835,7453,7719,6058,3335,6415,4382,3380,3920,2080,5390,1727,1629,2475,3714.0,360.0,717.0,3886.0,1117.0,5317.0,1005.0,2823.0,4095.0,1673.0,172
su Soviet Union,0,1085,440,2108.0,4655.0,1420,0.0,1682.0,135,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ru Russia,0,825,2116,2985.0,4034.0,1527,4575.0,1603.0,2851,4592.0,1161.0,913,1923,1690,0,103,1,1892,2659,2369,2035,3748,6228,5518,4912,4074,2487.0,4500.0,1932.0,925.0,0.0,0.0,0.0,90.0,90.0,0.0,0
hu Hungary,0,292,0,0.0,0.0,0,0.0,0.0,207,3764.0,6960.0,10350,13019,12409,10762,8173,2574,1341,7910,6863,6118,4030,2196,3978,6115,3985,2858.0,2182.0,8085.0,6019.0,7241.0,6045.0,8548.0,10037.0,8744.0,6197.0,6878
ro Romania,0,0,5753,2772.0,3478.0,2870,2393.0,5317.0,6869,6312.0,869.0,3715,5979,6202,5047,80,110,1341,8171,7843,7426,2533,2369,552,1383,1682,1447.0,1059.0,0.0,957.0,579.0,117.0,0.0,0.0,46.0,0.0,0
cz Czech Republic,0,0,2377,2698.0,6272.0,10031,16380.0,13171.0,4476,9951.0,9988.0,8700,16247,24491,30931,19825,24821,20683,20035,24870,19363,14803,11181,19117,15606,17636,11283.0,9794.0,7896.0,10424.0,11237.0,14456.0,12021.0,5559.0,10195.0,8607.0,5754
eng England,0,0,425,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,673,2186,1660,2244,1658,1240,717,0,0,0,0,0,0,0,0.0,0.0,0.0,1499.0,3638.0,6081.0,6691.0,6218.0,7403.0,6010.0,6412
tg Togo,0,0,425,1759.0,1136.0,668,870.0,0.0,2300,2690.0,1715.0,2204,930,499,1461,0,0,0,45,0,0,23,1643,1033,493,51,,0.0,0.0,2140.0,1066.0,2102.0,2200.0,2091.0,1417.0,1636.0,0
fr France,0,0,64,270.0,35.0,0,560.0,986.0,5042,3877.0,2701.0,4785,7124,6433,6407,10940,10392,13890,4956,12695,9099,12868,7919,4466,6927,6479,9232.0,11688.0,14996.0,20978.0,25635.0,31106.0,37250.0,42047.0,46848.0,38664.0,30208
xc Commonwealth of Independent States,0,0,0,2951.0,4127.0,7497,8309.0,1990.0,2367,1617.0,2596.0,270,1600,0,440,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ma Morocco,0,0,0,1035.0,0.0,1735,1647.0,0.0,0,956.0,2046.0,466,325,140,0,0,0,2980,216,456,591,2852,2314,1915,1530,180,1151.0,1791.0,659.0,2357.0,4254.0,6363.0,3824.0,1914.0,3095.0,2416.0,1924
cr Costa Rica,0,0,0,975.0,0.0,4,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308,1480,1432.0,868.0,,0.0,0.0,0.0,0.0,1722.0,1477.0,1187.0,162
bg Bulgaria,0,0,0,84.0,2821.0,3829,5485.0,8433.0,6907,8728.0,7292.0,6593,8807,9727,7840,7591,5783,5057,2095,6904,4823,648,234,0,0,17,,,0.0,0.0,0.0,,5.0,0.0,1730.0,1517.0,0
es Spain,0,0,0,,0.0,17,66.0,698.0,0,0.0,0.0,395,1138,0,4452,2511,2051,1923,667,0,86,0,5084,4185,10031,6362,17003.0,9891.0,14998.0,7466.0,9503.0,8690.0,7479.0,6440.0,5930.0,5141.0,3836
au Australia,0,0,0,0.0,1635.0,1238,385.0,1828.0,240,1855.0,2996.0,4610,5160,1960,447,1079,1061,90,1728,2781,1648,554,164,1663,3258,759,860.0,3101.0,2084.0,1853.0,1031.0,493.0,778.0,964.0,5.0,0.0,2888
ng Nigeria,0,0,0,0.0,1623.0,1208,1822.0,5329.0,5359,2265.0,3309.0,4283,6782,3339,3386,4254,1471,397,231,3934,2266,3332,253,1838,2045,584,2554.0,4225.0,1108.0,4047.0,1806.0,6089.0,3165.0,4703.0,2860.0,3462.0,6841
pe Peru,0,0,0,0.0,1597.0,0,0.0,0.0,0,0.0,0.0,2150,2381,1915,2313,1752,2414,2744,2915,2056,6888,6648,7344,5991,5640,4829,2342.0,3541.0,854.0,579.0,692.0,234.0,0.0,0.0,0.0,0.0,0
kz Kazakhstan,0,0,0,0.0,874.0,51,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,284,60,0,0,0,1467,0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sk Slovakia,0,0,0,0.0,469.0,1538,584.0,,163,0.0,348.0,445,449,4179,4811,3875,8599,5019,4514,7433,3106,8975,6545,3502,3203,4855,4665.0,1292.0,3252.0,2217.0,3748.0,2114.0,5039.0,4091.0,895.0,1661.0,5142
cw Curaçao,0,0,0,0.0,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,344.0,0.0,184.0,906.0,530.0,1.0,444.0,0.0,0.0,0
ba Bosnia and Herzegovina,0,0,0,0.0,0.0,1370,676.0,2678.0,5021,8075.0,5057.0,4392,13009,14125,7847,10629,8384,6024,13928,10899,10955,12760,11148,8020,7217,12239,8850.0,9918.0,8795.0,3128.0,3622.0,2433.0,3208.0,876.0,4415.0,4500.0,6496
lt Lithuania,0,0,0,0.0,0.0,2124,1892.0,1133.0,1271,90.0,1800.0,2215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
co Colombia,0,0,0,0.0,0.0,1723,59.0,0.0,0,0.0,0.0,0,0,0,6,0,0,0,581,47,2790,7350,2985,5288,2105,3920,1139.0,2337.0,2702.0,2578.0,1138.0,1998.0,1627.0,2378.0,1734.0,1037.0,0
al Albania,0,0,0,0.0,0.0,1449,766.0,809.0,101,362.0,0.0,2970,4414,33,4737,5166,8190,6967,1929,6422,5462,3213,200,754,2808,0,1036.0,991.0,4020.0,2350.0,791.0,2943.0,94.0,,10.0,1363.0,0
mk North Macedonia,0,0,0,0.0,0.0,856,,1476.0,726,2363.0,5685.0,1530,1845,0,1933,2790,2449,8627,9074,4113,1720,6319,5158,2142,3758,2835,622.0,0.0,0.0,0.0,0.0,21.0,216.0,,27.0,266.0,44
ge Georgia,0,0,0,0.0,0.0,236,0.0,0.0,0,0.0,4168.0,4716,7470,6814,0,7317,7537,4049,2143,2587,3377,2212,0,2751,0,1060,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894
ua Ukraine,0,0,0,0.0,0.0,35,348.0,29.0,1738,2409.0,3711.0,1783,807,2975,1923,1765,2076,2193,2067,96,2113,1055,1992,1559,1152,0,57.0,1040.0,1917.0,2601.0,656.0,0.0,0.0,0.0,2449.0,1880.0,1682
ao Angola,0,0,0,0.0,0.0,30,96.0,0.0,88,98.0,167.0,2802,946,1784,1132,916,1698,1320,1322,0,0,0,26,360,423,0,0.0,0.0,0.0,0.0,,0.0,1604.0,813.0,,0.0,0
gn Guinea,0,0,0,0.0,0.0,0,1314.0,1698.0,1164,2223.0,2194.0,2907,2489,968,1572,2227,2901,1666,216,644,0,0,150,271,2334,1865,853.0,1466.0,3333.0,5225.0,1152.0,242.0,136.0,242.0,1646.0,2317.0,3637
tr Türkiye,0,0,0,0.0,0.0,0,856.0,163.0,617,962.0,6069.0,1695,2613,4479,3119,6767,6521,10489,6475,6190,8346,7275,10730,8071,7445,14459,13395.0,12230.0,12983.0,11206.0,7607.0,9178.0,4720.0,2522.0,5612.0,3466.0,1635
eg Egypt,0,0,0,0.0,0.0,0,2240.0,1854.0,3369,3579.0,8186.0,5726,5754,5444,1406,43,164,1841,1539,837,1179,1760,104,932,0,0,0.0,0.0,0.0,0.0,0.0,81.0,1.0,1595.0,1476.0,2301.0,1448
cd Congo DR,0,0,0,0.0,0.0,0,507.0,2644.0,0,2391.0,713.0,394,0,0,1145,1089,2779,2725,2300,748,0,2243,3217,2934,3852,5851,4657.0,1185.0,2890.0,2349.0,1411.0,1204.0,1919.0,277.0,2026.0,905.0,1434
cy Cyprus,0,0,0,0.0,0.0,0,0.0,2051.0,183,0.0,0.0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uy Uruguay,0,0,0,0.0,0.0,0,0.0,673.0,0,0.0,0.0,0,0,0,2546,1415,1171,3024,3102,2809,1229,582,0,0,0,0,0.0,0.0,428.0,0.0,653.0,179.0,0.0,0.0,2747.0,0.0,0
it Italy,0,0,0,0.0,0.0,0,0.0,358.0,2144,1023.0,0.0,0,30,0,39,0,0,0,0,2632,7133,4665,4759,4140,4872,6031,3497.0,6887.0,7915.0,6077.0,6442.0,3926.0,4978.0,4779.0,3674.0,3093.0,2184
me Montenegro,0,0,0,0.0,0.0,0,0.0,317.0,0,0.0,1262.0,94,829,0,0,0,249,2797,2077,761,1608,561,0,0,1192,0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,892.0,0.0,0
gq Equatorial Guinea,0,0,0,0.0,0.0,0,0.0,225.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2450.0,771.0,993.0,2026.0,1762.0,0.0,0.0,0.0,0
cg Congo,0,0,0,0.0,0.0,0,0.0,60.0,1382,477.0,0.0,3917,2729,1655,0,2461,308,676,95,0,65,15,0,0,0,0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,153.0,247.0,0.0,0
be Belgium,0,0,0,0.0,0.0,0,0.0,0.0,2341,6132.0,3161.0,8593,4020,13318,11379,7928,12024,9512,6278,3247,5756,7140,10266,8596,11668,7498,4896.0,3164.0,3433.0,10486.0,11694.0,16145.0,15613.0,15954.0,9929.0,13312.0,11863
tn Tunisia,0,0,0,0.0,0.0,0,0.0,0.0,604,0.0,5915.0,5277,3570,1659,0,570,0,3175,5360,5994,1869,4360,5274,6717,2515,3891,2389.0,604.0,767.0,110.0,0.0,4127.0,2785.0,2954.0,3727.0,3239.0,2681
pt Portugal,0,0,0,0.0,0.0,0,0.0,0.0,560,1187.0,277.0,1942,1722,1358,5091,6308,1940,8709,7744,6638,9831,9189,5369,5108,4409,2060,2711.0,2426.0,3892.0,2158.0,3047.0,5199.0,5796.0,6368.0,11028.0,7484.0,6668
za South Africa,0,0,0,0.0,0.0,0,0.0,0.0,38,174.0,4104.0,1350,2865,694,2562,2850,2826,3457,3537,5263,537,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
lu Luxembourg,0,0,0,0.0,0.0,0,0.0,0.0,3,,0.0,2134,2590,1919,2422,2744,2420,2165,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,2509.0,2303.0,1806.0,2647.0,2736.0,1225
ir IR Iran,0,0,0,0.0,0.0,0,0.0,0.0,0,3924.0,1976.0,4682,3355,1061,3739,5258,3528,6269,5798,4244,2913,1270,1112,1993,66,2610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,927.0,0.0,0
cm Cameroon,0,0,0,0.0,0.0,0,0.0,0.0,0,1102.0,428.0,0,1293,1603,6140,8001,4838,5539,8039,5256,5829,8196,4146,7070,3354,7845,5203.0,7849.0,5203.0,275.0,2025.0,1866.0,1333.0,377.0,2184.0,2102.0,828
md Moldova,0,0,0,0.0,0.0,0,0.0,0.0,0,132.0,421.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cn China PR,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,1727.0,1511,1152,0,397,122,0,0,1216,347,274,438,270,0,0,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
ml Mali,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,1381.0,2277,4718,4161,0,5048,4173,0,581,0,186,0,0,375,36,0,0.0,488.0,175.0,0.0,897.0,3557.0,5172.0,3487.0,1862.0,1527.0,4157
my Malaysia,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,215.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
na Namibia,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,,2084,949,2864,2019,3636,2998,1808,1854,1080,1356,0,346,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
py Paraguay,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1280,1050,1317,803,2300,1434,2558,4087,2284,2379,6617,3287,959,0,833,3119.0,3007.0,3551.0,457.0,0.0,0.0,1299.0,0.0,0.0,0.0,0
tt Trinidad and Tobago,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
zm Zambia,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,12,2557,1646,0,2812,0,591,1719,0,2654,0,0,559,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ca Canada,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2208,1246,3872,5349,5154,0,2871,1773,6876,3042,235,2309,2269,670,55.0,0.0,0.0,0.0,80.0,2234.0,1763.0,1740.0,2042.0,2065.0,1560
bj Benin,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1532,1660,1906,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,0.0,0.0,0.0,299
by Belarus,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,284,2080,2681,2571,3063,0,0,17,0,1830,1760,1476,123,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bf Burkina Faso,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,26,11,0,1533,1411,0,0,0,2075,3425,1845,0,633,0,0.0,0.0,0.0,0.0,0.0,1058.0,2652.0,1814.0,2871.0,2087.0,2401
lb Lebanon,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,881,268,1422,3789,0,0,0,3985,2756,2384,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
