,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ru Russia,2767.0,829.0,0.0,2607.0,1469,2811,2394,4980,848,1004,975,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2290.0,2061.0,1069.0,1502.0,2464.0,4237,2419.0
pa Panama,2373.0,1489.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997,1987.0
bj Benin,2038.0,2551.0,,0.0,0,0,0,0,339,0,0,2382,3177,3194,2960,728,680,9,1481,4431.0,2957.0,7958.0,4024.0,3113.0,0.0,4659.0,6354.0,5008.0,2671,270.0
td Chad,1952.0,2914.0,887.0,,0,0,0,0,0,0,0,0,0,0,0,0,961,0,0,0.0,1983.0,514.0,1283.0,2468.0,738.0,180.0,409.0,0.0,0,0.0
gf French Guiana,1725.0,0.0,0.0,0.0,0,0,0,0,0,171,0,0,670,1010,3179,0,355,0,0,2406.0,1523.0,2880.0,2273.0,131.0,950.0,296.0,2690.0,2826.0,1568,3227.0
ar Argentina,1544.0,1850.0,1248.0,3749.0,10436,16405,18210,18942,16106,9149,9270,12603,13242,14609,23765,17304,16962,15171,14612,16214.0,13657.0,14890.0,16988.0,13224.0,10826.0,12874.0,12590.0,11388.0,7577,9652.0
hu Hungary,925.0,408.0,39.0,625.0,0,0,0,0,0,0,1296,0,1901,0,0,0,0,0,0,0.0,0.0,1625.0,232.0,0.0,0.0,0.0,0.0,0.0,1561,2011.0
ba Bosnia and Herzegovina,646.0,413.0,1479.0,1844.0,283,244,0,0,0,204,0,0,2389,702,5442,3425,161,0,1807,638.0,,2708.0,4243.0,3543.0,1410.0,2230.0,3976.0,4589.0,88,287.0
tg Togo,623.0,3301.0,1621.0,4382.0,2003,1064,1026,672,2882,3054,2350,3068,2344,4496,6485,9135,6731,11134,13800,9996.0,7200.0,814.0,4989.0,5629.0,4180.0,614.0,702.0,270.0,3149,2212.0
se Sweden,117.0,0.0,0.0,164.0,470,2414,3590,549,6087,9054,11622,7729,10181,5273,5340,5131,2873,2975,3996,7336.0,3673.0,10170.0,5564.0,7205.0,9.0,1799.0,1708.0,3071.0,2213,4416.0
gp Guadeloupe,90.0,1837.0,0.0,2940.0,2629,2547,2683,1526,1196,754,0,0,1521,137,0,157,3386,3190,6960,5476.0,3106.0,1245.0,1033.0,2126.0,1926.0,3025.0,2425.0,4316.0,0,637.0
ml Mali,20.0,266.0,1206.0,570.0,2840,2835,5392,9469,14736,24167,23277,19989,17456,22257,30831,29908,22533,18059,22698,15690.0,16514.0,8821.0,17150.0,18810.0,18007.0,22832.0,23657.0,25324.0,13366,10792.0
ht Haiti,12.0,1347.0,548.0,1341.0,250,312,263,755,93,0,682,2238,0,3420,580,159,3,2720,3003,7538.0,4411.0,1822.0,2684.0,357.0,1178.0,2029.0,3007.0,2528.0,4030,2232.0
lu Luxembourg,7.0,462.0,256.0,1918.0,0,0,0,0,0,0,0,0,1469,0,0,0,0,0,0,703.0,0.0,824.0,2001.0,,0.0,,848.0,0.0,0,0.0
